replicate,matched_placebo_right_minus_left,fallback_sampled_neurons
0,-0.001233915912600872,4692
1,0.00047647225105289237,4692
2,-0.0035998565980245624,4692
3,-0.0006236636621743501,4692
4,-0.0015034132101906482,4692
5,-0.0014971947512177515,4692
6,-0.0009863381280465454,4692
7,0.0014701093818557075,4692
8,0.0005080180712906841,4692
9,0.00018084287603841245,4692
10,-0.0009270972568063418,4692
11,-0.0029112478303290196,4692
12,-4.772723048897254e-05,4692
13,-0.0042856065326419834,4692
14,-0.0009369070045828105,4692
15,-0.001826208461194332,4692
16,-0.004494574989872529,4692
17,0.0020443657442742666,4692
18,0.0010191383673577026,4692
19,0.0012985872650052473,4692
20,-0.0033356449095251137,4692
21,0.00021440591448354182,4692
22,-0.00011769618905747847,4692
23,0.001678160613166512,4692
24,0.000741422269550731,4692
25,0.0009859055543431985,4692
26,-0.000587908966127107,4692
27,-0.0005798032348129714,4692
28,-0.0014608220197177939,4692
29,0.0002765886329862688,4692
30,-0.00027708095877615815,4692
31,0.0007054348835690179,4692
32,-0.0015918574209725714,4692
33,0.0010317839514283264,4692
34,0.004273168171378003,4692
35,-0.003429378699982593,4692
36,0.000271464410106316,4692
37,-0.002946684369482571,4692
38,-0.0045051235064771725,4692
39,-0.0015967254474288477,4692
40,0.0015527096461390132,4692
41,0.00044014388640451624,4692
42,-0.000863831686747172,4692
43,0.0001374971872428847,4692
44,0.0009856220712585947,4692
45,-0.0007057874949437035,4692
46,-7.37426111589827e-05,4692
47,-0.0012337768174159845,4692
48,-0.005078454739982807,4692
49,-0.001756587454040056,4692
50,9.874449605007732e-05,4692
51,-0.0004768743413746737,4692
52,-0.0007794398734714651,4692
53,-0.0020551840451936317,4692
54,-0.0025666730676351494,4692
55,-0.001286106400653974,4692
56,-7.227072297585208e-05,4692
57,-0.002007676905031827,4692
58,-0.004000510275178521,4692
59,-0.000843811275164294,4692
60,-0.0015513816879681001,4692
61,-0.0020340125136934298,4692
62,0.00017394054480479246,4692
63,-0.0011687833731094423,4692
64,-0.0020502516259759615,4692
65,0.0021634103247618122,4692
66,-0.0008128887357462949,4692
67,-0.004377554197169564,4692
68,-0.0024733121094028428,4692
69,-0.0024490407496890257,4692
70,0.0007408569385446324,4692
71,-0.0018505799803181476,4692
72,-0.0010483076029658908,4692
73,-0.002210166811380681,4692
74,0.0021712782325163035,4692
75,-9.287916471934984e-05,4692
76,-0.0021441221091116763,4692
77,-0.0004497106946049073,4692
78,-0.0008136045282284253,4692
79,1.0676699155505454e-05,4692
80,0.0001641058114862648,4692
81,-0.0022602503931352207,4692
82,-0.001019110460765013,4692
83,0.001163857620204687,4692
84,-0.003415229510091898,4692
85,0.0010258089340820543,4692
86,-0.0003105673367704287,4692
87,-0.0021772235793207084,4692
88,-0.003299084037046391,4692
89,0.00011513509727481899,4692
90,-0.0005126081319707619,4692
91,-0.0018348330357890567,4692
92,0.0018688612472216697,4692
93,0.0010729545449976279,4692
94,-0.0009962880117565936,4692
95,0.00043415488919003667,4692
96,-0.002050352718484312,4692
97,-0.003606533177988619,4692
98,0.001189031469283331,4692
99,-0.0008759181819946449,4692
100,0.00010849387763683938,4692
101,-0.001827284126300767,4692
102,0.0002525578456944802,4692
103,-0.0029134804571431423,4692
104,-0.0008037774331746718,4692
105,-0.0016202643312618475,4692
106,0.0025504527112673488,4692
107,-0.0003974323345443363,4692
108,0.00021957348968594873,4692
109,-0.0002457027624353063,4692
110,-0.0018016456583768749,4692
111,0.00035387789641480247,4692
112,-0.0019982821500637606,4692
113,0.001263127366603299,4692
114,-7.089002521573975e-05,4692
115,0.0006656956952747553,4692
116,0.0008292139274610789,4692
117,-0.0004524596359298527,4692
