analysis,batch,n_flies,mean_right_minus_left,median_right_minus_left,bootstrap_ci_low,bootstrap_ci_high,paired_t_p_two_sided,wilcoxon_p_two_sided,sign_test_p_two_sided,left_right_label_permutation_p,positive_fly_count,method
peak_log_dose_slope,new,12,0.10372137302759112,0.0697843685331306,0.016074928445311765,0.19368590128095314,0.04987266964531599,0.06396484375,0.14599609375,0.0461953804619538,9.0,fly-level paired statistics regenerated from dpm_fly_level_peak_dose_slopes.csv
peak_log_dose_slope,old,17,0.12649169509449673,0.06260893559837954,0.04685019548693851,0.21542808853802142,0.01325793865321054,0.0128631591796875,0.049041748046875,0.007899210078992101,13.0,fly-level paired statistics regenerated from dpm_fly_level_peak_dose_slopes.csv
peak_log_dose_slope,combined,29,0.11706949285991511,0.06260893559837954,0.05749430589258011,0.18127256332588632,0.001207634718818835,0.0013987235724925995,0.008130058646202087,0.0007999200079992001,22.0,fly-level paired statistics regenerated from dpm_fly_level_peak_dose_slopes.csv
baseline_mean_0_to_prestim_right_minus_left,all_pulses,29,,,,,,,,,,"ROI size, motion, exclusion count and 180-degree rotation controls are unavailable in current local tables"
