gate_strength,condition_class,n_seed_panels,mean_delta_lateral_code_vs_sym,bootstrap_ci_low,bootstrap_ci_high,n_positive,n_negative
-1.0,mirror_reversed,10,-0.07510228817068612,-0.07813989154019184,-0.07191263756703618,0,10
0.0,symmetrized,10,0.0,0.0,0.0,0,0
0.5,real_lateralized,10,0.03678677492092349,0.03512902616716451,0.03835013164426936,10,0
1.0,real_lateralized,10,0.07431332634163162,0.07118753030709071,0.07737137258232489,10,0
1.5,real_lateralized,10,0.11140399711649562,0.10706862199224917,0.11579121112102347,10,0
2.0,real_lateralized,10,0.1481419110387933,0.1423179018210751,0.15378581859589904,10,0
3.0,real_lateralized,10,0.22032147894603843,0.21203617789227627,0.2285188272708664,10,0
