dataset,fly,left,right,right_minus_left,batch
2026-05-21_old,old_fly1,0.1279611148343981,0.5993326879078051,0.47137157307340705,old
2026-05-21_old,old_fly10,0.0172994222693543,-0.0454342147516156,-0.0627336370209699,old
2026-05-21_old,old_fly11,0.0761509465067084,0.2894576685127399,0.2133067220060315,old
2026-05-21_old,old_fly12,0.2246586939790818,0.255110237085965,0.030451543106883167,old
2026-05-21_old,old_fly13,0.3632118658089089,0.5698634282514593,0.2066515624425504,old
2026-05-21_old,old_fly14,0.7111067390233244,0.773715674621704,0.06260893559837954,old
2026-05-21_old,old_fly16,-0.0385394264153981,0.0501855064607969,0.088724932876195,old
2026-05-21_old,old_fly17,0.2795961299774777,0.3171446697672858,0.0375485397898081,old
2026-05-21_old,old_fly18,0.7263442750509346,0.6935965485699531,-0.032747726480981454,old
2026-05-21_old,old_fly2,0.1890798410950314,0.7133558712534591,0.5242760301584277,old
2026-05-21_old,old_fly3,0.4805391671439844,0.9210770260007024,0.440537858856718,old
2026-05-21_old,old_fly4,0.2051231305362259,0.2802421611807302,0.07511903064450429,old
2026-05-21_old,old_fly5,0.4436679161514076,0.3917244611953654,-0.05194345495604219,old
2026-05-21_old,old_fly6,0.7637979350178116,0.9086243484127944,0.1448264133949828,old
2026-05-21_old,old_fly7,0.0665903879349558,0.1167318329839365,0.0501414450489807,old
2026-05-21_old,old_fly8,0.0083575792635034,0.0149416748159144,0.0065840955524110005,old
2026-05-21_old,old_fly9,0.1465003286259811,0.0921352811411398,-0.05436504748484132,old
2026-06-03_new,new_fly1,0.0502136370206088,0.2807468373015564,0.23053320028094762,new
2026-06-03_new,new_fly10,0.737763165221195,0.7874129300942484,0.04964976487305339,new
2026-06-03_new,new_fly11,0.5811471577375072,0.7693835359019501,0.18823637816444283,new
2026-06-03_new,new_fly12,0.2786389029092501,0.3306671449920672,0.05202824208281709,new
2026-06-03_new,new_fly2,0.3682675088749932,0.4906714202910955,0.1224039114161023,new
2026-06-03_new,new_fly3,-0.0389637217042841,-0.0040529522475449,0.0349107694567392,new
2026-06-03_new,new_fly4,0.2317623282809894,0.1240160612781045,-0.1077462670028849,new
2026-06-03_new,new_fly5,0.801573897512,1.1351899980590343,0.3336161005470343,new
2026-06-03_new,new_fly6,0.0274974828068813,0.1150379777903254,0.0875404949834441,new
2026-06-03_new,new_fly7,0.4596873012350201,0.3309349528713907,-0.12875234836362942,new
2026-06-03_new,new_fly8,-0.014269251191112,-0.0372726721088339,-0.023003420917721902,new
2026-06-03_new,new_fly9,0.0133985929109287,0.4186382437216777,0.405239650810749,new
