cohort,selection_rule,case_id,case_class,glomeruli,lateral_code_index_real3_delta_vs_sym_arbor,lateral_code_index_real3_delta_vs_sym_baseline,lateral_code_index_real3_minus_mirror_arbor,lateral_code_index_real3_minus_mirror_baseline,lateral_code_index_real3_minus_shuffle_arbor,lateral_code_index_real3_minus_shuffle_baseline,mean_spike_count_real3_delta_vs_sym_arbor,mean_spike_count_real3_delta_vs_sym_baseline,normalized_effective_dimension_real3_delta_vs_sym_arbor,normalized_effective_dimension_real3_delta_vs_sym_baseline,normalized_effective_dimension_real3_minus_mirror_arbor,normalized_effective_dimension_real3_minus_mirror_baseline,normalized_effective_dimension_real3_minus_shuffle_arbor,normalized_effective_dimension_real3_minus_shuffle_baseline
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,neutral_control_054_VA5_DC3_VM7v,neutral_control,VA5;DC3;VM7v,0.141555612784944,0.1645471873022915,0.1930765860518069,0.2214458717921752,0.1393817839580564,0.1632609573402931,-380.25,0.0,-0.0043372626658843,-0.0002077179646145,-0.0082923226413271,0.0004115734493244,-0.0068358226991153,3.215994786441234e-05
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,neutral_control_055_DC3_VM7v_VA1v,neutral_control,DC3;VM7v;VA1v,0.1129560757690888,0.1333727427969912,0.1490146202074334,0.1745354185422121,0.1117995599976489,0.1322068030972748,-270.4583333333321,0.0,-0.0007868334663989,-0.0002906714029325,-0.0026996570401801,-4.059001265830004e-05,-0.0018919526353999,-8.374912384890004e-05
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,neutral_control_056_VM7v_VA1v_VC1,neutral_control,VM7v;VA1v;VC1,0.1250317742231629,0.1166530189683403,0.1670817849278573,0.1547671136740926,0.1252324132486489,0.1162106897219002,-331.9166666666679,0.0,0.0007577626959225,-0.0001511560613245,-0.00452043799662,2.1018170470399984e-05,-0.0002621810534037,3.109619948071964e-05
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,neutral_control_057_VA1v_VC1_D,neutral_control,VA1v;VC1;D,0.1279705889402248,0.1295294570106469,0.168728240045362,0.1706983510068213,0.1280230408499552,0.1290469292257159,-289.9166666666679,3.552713678800501e-15,0.0023031812835002,-0.0001082801100451,0.004248971140788,0.0003196992605547,0.0060185319963559,0.0001963954344536
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,neutral_control_058_VC1_VA1d_D,neutral_control,VC1;VA1d;D,0.140062553721194,0.1514318977534242,0.1819746772494375,0.1990350406509681,0.1407982066740496,0.1512710429802034,-264.7916666666679,-1.0658141036401504e-14,0.0056863439913114,-0.0002157500790421,0.0084620492898745,0.0002082812798371,0.0042836240792035,-5.8156249258503205e-05
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,neutral_control_059_VA1d_D_DA2,neutral_control,VA1d;D;DA2,0.1143579457166485,0.1139247485700844,0.1506159686235225,0.1502726183635836,0.11226525779229,0.1111500297596636,-225.6666666666661,7.105427357601002e-15,-0.0022895005219166,-0.0001082229735345,-0.006379662928559,5.094223266689999e-05,-0.002853875743671,-2.591685450409895e-05
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_extra_062_DL1_VM3_DM1,support_extra,DL1;VM3;DM1,0.2785045282632303,0.3082482188528846,0.3757979461345094,0.4073791482523404,0.2769570917143535,0.3035069308440391,-207.33333333333576,0.0,-0.003306576543704,-0.0002643081701307,-0.0018972450165228,0.0001914005558677,-0.0053910638100738,-3.098738552503535e-05
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_extra_063_VA4_VC5_DL2v,support_extra,VA4;VC5;DL2v,0.232491957486743,0.2517719227704839,0.3064865405863186,0.3392960806331412,0.2342610220067826,0.2557878539057986,-713.5833333333321,7.105427357601002e-15,-0.0005645980774729,-0.000942018599977,-0.0025055972581329,-0.0008768719570719,-0.0032458364745371,-0.0008388530828035
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_extra_064_DC1_VL2p_DC2_VL2a,support_extra,DC1;VL2p;DC2;VL2a,0.2221679220930302,0.2432813521747339,0.2942542792149866,0.3240746860343443,0.2197685805148428,0.2364127229121642,-263.4583333333321,-3.552713678800501e-15,0.0021967015138057,0.0016921037582385,-0.0004549928652531,0.0017354910038508,-0.0011365820131725,0.0016510197762247
lateral_support_selected_72,partly selected by single-glomerulus lateral-code support,support_extra_065_VA7m_VA2_DL2v_DM3,support_extra,VA7m;VA2;DL2v;DM3,0.2541789960702347,0.2635008591173127,0.3390971869745275,0.3522512241312179,0.2499791055938503,0.2594399325214012,-434.25,0.0,0.0062807299255799,-0.0013407935155371,0.0056953885440171,-0.0008812272426163,0.002791473303111,-0.0014087976414327
