control,n_seeds,n_odors,mean_left_command,mean_right_command,left_right_ratio_of_means,mean_left_minus_right_command,seed_bootstrap_ci_low,seed_bootstrap_ci_high,left_stronger_odors,right_stronger_odors
registered,10,120,41.375050244169195,5.9241065890295,6.984183964682402,35.45094365513969,34.21479814604463,36.76952068509554,120,0
input_mass_equalized,10,120,32.89177651960967,7.98305375961939,4.120199801983779,24.908722759990276,24.01289795143124,25.864495559220543,120,0
output_equalized,10,120,25.859406402605746,14.81026647257375,1.7460459911706006,11.049139930031997,10.539724150573317,11.591098710482388,120,0
input_and_output_equalized,10,120,20.557360324756043,19.95763439904847,1.0300499504959448,0.599725925707569,0.28072776825551005,0.9117381526115866,66,54
output_sides_swapped,10,120,10.343762561042299,23.696426356118,0.43651149779265014,-13.352663795075703,-13.812024910409466,-12.912272699165126,0,120
